date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:30	371/371	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-173%22	https://mittrayash.github.io/images/heart.png	E:/portfolio/pert/mittrayash.github.io/images/heart.png	(from https://mittrayash.github.io/css/style.css)
00:10:31	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d363bee-247b%22	https://mittrayash.github.io/css/grabbing.png	E:/portfolio/pert/mittrayash.github.io/css/grabbing.png	(from https://mittrayash.github.io/css/owl.carousel.css)
00:10:31	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d363bee-247b%22	https://mittrayash.github.io/oldsite/image/logo1.png	E:/portfolio/pert/mittrayash.github.io/oldsite/image/logo1.png	(from https://mittrayash.github.io/oldsite/)
00:10:32	154475/154475	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-25b6b%22	https://mittrayash.github.io/oldsite/css/bootstrap.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/bootstrap.css	(from https://mittrayash.github.io/oldsite/)
00:10:32	15632/15632	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-3d10%22	https://mittrayash.github.io/oldsite/css/main.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/main.css	(from https://mittrayash.github.io/oldsite/)
00:10:33	73536/73536	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-11f40%22	https://mittrayash.github.io/oldsite/css/animate.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/animate.css	(from https://mittrayash.github.io/oldsite/)
00:10:33	2581/2581	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-a15%22	https://mittrayash.github.io/oldsite/css/elastislide.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/elastislide.css	(from https://mittrayash.github.io/oldsite/)
00:10:33	39751/39751	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-9b47%22	https://mittrayash.github.io/oldsite/css/font-awesome.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/font-awesome.css	(from https://mittrayash.github.io/oldsite/)
00:10:33	3268/3268	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-cc4%22	https://mittrayash.github.io/oldsite/css/custom.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/custom.css	(from https://mittrayash.github.io/oldsite/)
00:10:34	9174/9174	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-23d6%22	https://mittrayash.github.io/oldsite/js/modernizr.custom.17475.js	E:/portfolio/pert/mittrayash.github.io/oldsite/js/modernizr.custom.17475.js	(from https://mittrayash.github.io/oldsite/)
00:10:35	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	https://davidstutz.github.io/bootstrap-multiselect/dist/css/bootstrap-multiselect.css	E:/portfolio/pert/davidstutz.github.io/bootstrap-multiselect/dist/css/bootstrap-multiselect.69.delayed	(from https://mittrayash.github.io/oldsite/)
00:10:37	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	E:/portfolio/pert/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://mittrayash.github.io/oldsite/)
00:10:38	20766/20766	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	E:/portfolio/pert/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from https://mittrayash.github.io/oldsite/)
00:10:40	18618/18618	---M--	200	added ('OK')	text/css	etag:%224b4dc858b084572c969c293c7e21fceb%22	https://d396qusza40orc.cloudfront.net/phoenixassets/web-frameworks/bootstrap-social.css	E:/portfolio/pert/d396qusza40orc.cloudfront.net/phoenixassets/web-frameworks/bootstrap-social.css	(from https://mittrayash.github.io/oldsite/)
00:10:40	154862/154862	---M--	200	added ('OK')	image/jpeg	etag:%225e94ba9c-25cee%22	https://mittrayash.github.io/images/landingpage.jpg	E:/portfolio/pert/mittrayash.github.io/images/landingpage.jpg	(from https://mittrayash.github.io/css/style.css)
00:10:40	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	E:/portfolio/pert/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://mittrayash.github.io/oldsite/)
00:10:40	3616/3616	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-e20%22	https://mittrayash.github.io/oldsite/css/skills.css	E:/portfolio/pert/mittrayash.github.io/oldsite/css/skills.css	(from https://mittrayash.github.io/oldsite/)
00:10:41	9740/9740	---M-Z	200	added ('OK')	text/css	etag:W/%225e94ba9c-260c%22	https://mittrayash.github.io/oldsite/main2.css	E:/portfolio/pert/mittrayash.github.io/oldsite/main2.css	(from https://mittrayash.github.io/oldsite/)
00:10:41	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/portfolio/pert/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://mittrayash.github.io/oldsite/)
00:10:41	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	E:/portfolio/pert/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://mittrayash.github.io/oldsite/)
00:10:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/portfolio/pert/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://mittrayash.github.io/oldsite/)
00:10:43	21790/21790	---M--	200	added ('OK')	image/jpeg	etag:%225e94ba9c-551e%22	https://mittrayash.github.io/oldsite/Yash.jpg	E:/portfolio/pert/mittrayash.github.io/oldsite/Yash.jpg	(from https://mittrayash.github.io/oldsite/)
